timestamp,namespace,pod,cpu_millicores,mem_bytes
2026-09-16T14:42:58.061508+00:00,kai-scheduler,admission-86666f457d-sk7lz,7.0,13631488
2026-09-16T14:42:58.061508+00:00,kai-scheduler,binder-869fc94c7-dc7lv,9.0,16777216
2026-09-16T14:42:58.061508+00:00,kai-scheduler,kai-operator-69b5d7bcf7-qxvz5,7.0,58720256
2026-09-16T14:42:58.061508+00:00,kai-scheduler,kai-scheduler-default-7f5cd888f7-lh8cb,9.0,25165824
2026-09-16T14:42:58.061508+00:00,kai-scheduler,pod-grouper-65456f756-4l2jm,6.0,11534336
2026-09-16T14:42:58.061508+00:00,kai-scheduler,podgroup-controller-68f9cc8dbf-2qvq4,6.0,11534336
2026-09-16T14:42:58.061508+00:00,kai-scheduler,queue-controller-f86fcd76c-gllp2,6.0,13631488
2026-09-16T14:42:58.061508+00:00,kube-system,coredns-8db54c48d-jsq8b,3.0,16777216
2026-09-16T14:42:58.061508+00:00,kube-system,kwok-controller-5cf8c7c44b-x7xbp,2.0,23068672
2026-09-16T14:42:58.061508+00:00,kube-system,local-path-provisioner-5d9d9885bc-vskmj,1.0,13631488
2026-09-16T14:42:58.061508+00:00,kube-system,metrics-server-786d997795-ldd7t,4.0,27262976
2026-09-16T14:42:58.061508+00:00,kube-system,svclb-traefik-7411b517-6x8cv,0.0,0
2026-09-16T14:42:58.061508+00:00,kube-system,traefik-9bcdbbd9-gmgcc,1.0,30408704
2026-09-16T14:42:58.061508+00:00,pyroscope,pyroscope-0,8.0,20971520
2026-09-16T14:42:58.061508+00:00,pyroscope,pyroscope-alloy-0,20.0,60817408
2026-09-16T14:43:04.319326+00:00,kai-scheduler,admission-86666f457d-sk7lz,7.0,13631488
2026-09-16T14:43:04.319326+00:00,kai-scheduler,binder-869fc94c7-dc7lv,9.0,16777216
2026-09-16T14:43:04.319326+00:00,kai-scheduler,kai-operator-69b5d7bcf7-qxvz5,7.0,58720256
2026-09-16T14:43:04.319326+00:00,kai-scheduler,kai-scheduler-default-7f5cd888f7-lh8cb,9.0,25165824
2026-09-16T14:43:04.319326+00:00,kai-scheduler,pod-grouper-65456f756-4l2jm,6.0,11534336
2026-09-16T14:43:04.319326+00:00,kai-scheduler,podgroup-controller-68f9cc8dbf-2qvq4,6.0,11534336
2026-09-16T14:43:04.319326+00:00,kai-scheduler,queue-controller-f86fcd76c-gllp2,6.0,13631488
2026-09-16T14:43:04.319326+00:00,kube-system,coredns-8db54c48d-jsq8b,3.0,16777216
2026-09-16T14:43:04.319326+00:00,kube-system,kwok-controller-5cf8c7c44b-x7xbp,2.0,23068672
2026-09-16T14:43:04.319326+00:00,kube-system,local-path-provisioner-5d9d9885bc-vskmj,1.0,13631488
2026-09-16T14:43:04.319326+00:00,kube-system,metrics-server-786d997795-ldd7t,4.0,27262976
2026-09-16T14:43:04.319326+00:00,kube-system,svclb-traefik-7411b517-6x8cv,0.0,0
2026-09-16T14:43:04.319326+00:00,kube-system,traefik-9bcdbbd9-gmgcc,1.0,30408704
2026-09-16T14:43:04.319326+00:00,pyroscope,pyroscope-0,8.0,20971520
2026-09-16T14:43:04.319326+00:00,pyroscope,pyroscope-alloy-0,20.0,60817408
2026-09-16T14:43:10.559231+00:00,grove-system,grove-operator-646f9c68-pfjvq,13.0,27262976
2026-09-16T14:43:10.559231+00:00,kai-scheduler,admission-86666f457d-sk7lz,7.0,13631488
2026-09-16T14:43:10.559231+00:00,kai-scheduler,binder-869fc94c7-dc7lv,9.0,16777216
2026-09-16T14:43:10.559231+00:00,kai-scheduler,kai-operator-69b5d7bcf7-qxvz5,29.0,59768832
2026-09-16T14:43:10.559231+00:00,kai-scheduler,kai-scheduler-default-7f5cd888f7-lh8cb,8.0,25165824
2026-09-16T14:43:10.559231+00:00,kai-scheduler,pod-grouper-65456f756-4l2jm,1.0,11534336
2026-09-16T14:43:10.559231+00:00,kai-scheduler,podgroup-controller-68f9cc8dbf-2qvq4,5.0,11534336
2026-09-16T14:43:10.559231+00:00,kai-scheduler,queue-controller-f86fcd76c-gllp2,6.0,13631488
2026-09-16T14:43:10.559231+00:00,kube-system,coredns-8db54c48d-jsq8b,3.0,20971520
2026-09-16T14:43:10.559231+00:00,kube-system,kwok-controller-5cf8c7c44b-x7xbp,30.0,24117248
2026-09-16T14:43:10.559231+00:00,kube-system,local-path-provisioner-5d9d9885bc-vskmj,1.0,13631488
2026-09-16T14:43:10.559231+00:00,kube-system,metrics-server-786d997795-ldd7t,18.0,32505856
2026-09-16T14:43:10.559231+00:00,kube-system,svclb-traefik-7411b517-6x8cv,0.0,0
2026-09-16T14:43:10.559231+00:00,kube-system,traefik-9bcdbbd9-gmgcc,2.0,30408704
