timestamp,container,cpu_percent,mem_bytes
2026-09-16T14:49:41.448333+00:00,k3d-shared-e2e-test-cluster-server-0,49.05,3237331599
2026-09-16T14:49:47.687725+00:00,k3d-shared-e2e-test-cluster-server-0,59.99,3254511468
2026-09-16T14:49:53.923956+00:00,k3d-shared-e2e-test-cluster-server-0,107.24,3260953919
2026-09-16T14:50:00.180014+00:00,k3d-shared-e2e-test-cluster-server-0,147.87,3257732694
2026-09-16T14:50:06.419149+00:00,k3d-shared-e2e-test-cluster-server-0,54.03,3257732694
2026-09-16T14:50:12.655462+00:00,k3d-shared-e2e-test-cluster-server-0,46.45,3253437726
2026-09-16T14:50:18.899942+00:00,k3d-shared-e2e-test-cluster-server-0,96.93,3241626566
2026-09-16T14:50:25.146249+00:00,k3d-shared-e2e-test-cluster-server-0,123.37,3255585210
2026-09-16T14:50:31.389248+00:00,k3d-shared-e2e-test-cluster-server-0,107.93,3233036632
2026-09-16T14:50:37.627806+00:00,k3d-shared-e2e-test-cluster-server-0,105.39,3194381926
2026-09-16T14:50:43.868844+00:00,k3d-shared-e2e-test-cluster-server-0,137.71,3201898119
2026-09-16T14:50:50.108022+00:00,k3d-shared-e2e-test-cluster-server-0,112.38,3171833348
2026-09-16T14:50:56.346131+00:00,k3d-shared-e2e-test-cluster-server-0,132.12,3135326126
2026-09-16T14:51:02.596395+00:00,k3d-shared-e2e-test-cluster-server-0,110.62,3032246910
2026-09-16T14:51:08.833210+00:00,k3d-shared-e2e-test-cluster-server-0,284.04,3042984329
2026-09-16T14:51:15.072212+00:00,k3d-shared-e2e-test-cluster-server-0,352.15,3067680391
2026-09-16T14:51:21.322659+00:00,k3d-shared-e2e-test-cluster-server-0,373.40,3106335096
2026-09-16T14:51:27.569826+00:00,k3d-shared-e2e-test-cluster-server-0,783.02,3136399867
2026-09-16T14:51:33.830847+00:00,k3d-shared-e2e-test-cluster-server-0,758.46,3179349540
2026-09-16T14:51:40.091737+00:00,k3d-shared-e2e-test-cluster-server-0,485.02,3196529410
2026-09-16T14:51:46.364258+00:00,k3d-shared-e2e-test-cluster-server-0,198.15,3269543854
2026-09-16T14:51:52.608113+00:00,k3d-shared-e2e-test-cluster-server-0,84.88,3281355014
2026-09-16T14:51:58.848887+00:00,k3d-shared-e2e-test-cluster-server-0,24.53,3271691337
2026-09-16T14:52:05.084255+00:00,k3d-shared-e2e-test-cluster-server-0,29.30,3257732694
2026-09-16T14:52:11.319769+00:00,k3d-shared-e2e-test-cluster-server-0,7.80,3260953919
2026-09-16T14:52:17.554270+00:00,k3d-shared-e2e-test-cluster-server-0,84.48,3312493527
2026-09-16T14:52:23.789550+00:00,k3d-shared-e2e-test-cluster-server-0,59.30,3457448673
